"","caseid","commonweight","age","gender","race_eth","education","marital","employment","device","republican","public_ins","public_option"
"107",1027982765,2.01522613042949,27,"Female","Hispanic/Latino","Less than high school","Divorced","Other","Smartphone",0,1,1
"108",1028657685,0.597036313850851,38,"Female","Hispanic/Latino","Some college or 2-year degree","Married","Other","Smartphone",0,0,1
"109",1028826649,0.775651390309501,72,"Male","White","Some college or 2-year degree","Married","Retired","Smartphone",0,1,1
"110",1028810415,1.17518834554898,44,"Male","White","College graduate or higher","Married","Employed","Smartphone",1,0,0
"111",1028824843,1.39805900823299,69,"Male","White","College graduate or higher","Never married","Retired","Computer",0,1,1
"112",1028822599,0.470773106160467,56,"Female","White","College graduate or higher","Married","Retired","Tablet",0,0,0
"113",1028824093,0.934463097563831,58,"Female","White","Some college or 2-year degree","Married","Employed","Smartphone",1,0,1
"114",1028824165,0.806559171933045,57,"Male","Native American","Some college or 2-year degree","Widowed","Retired","Computer",0,0,0
"115",1028810345,0.624683336479162,70,"Male","White","College graduate or higher","Married","Retired","Computer",0,1,1
"116",1028824339,0.280724422603047,26,"Female","White","College graduate or higher","Never married","Employed","Smartphone",0,0,1
"117",1028749943,3.3059136866296,75,"Male","Black","High school graduate","Married","Retired","Computer",0,1,1
"118",1028811905,0.588121681451484,73,"Female","White","Some college or 2-year degree","Married","Employed","Computer",0,1,0
"119",1028809349,1.06199144672673,60,"Female","White","College graduate or higher","Never married","Retired","Smartphone",0,0,1
"120",1028812961,0.204604820600478,29,"Male","White","College graduate or higher","Never married","Employed","Smartphone",0,0,1
"121",1028824227,1.0633872639012,84,"Male","White","College graduate or higher","Divorced","Retired","Computer",0,1,1
"122",1028791461,0.825492546693374,20,"Male","White","Some college or 2-year degree","Never married","Employed","Smartphone",1,0,0
"123",1028827165,1.95796562931703,68,"Male","White","Some college or 2-year degree","Married","Retired","Computer",0,1,1
"124",1028798131,1.32435472001115,32,"Male","White","College graduate or higher","Married","Employed","Smartphone",0,0,1
"125",1028825277,1.5748262143218,70,"Female","White","Some college or 2-year degree","Married","Retired","Computer",1,1,1
"126",1028799175,0.762492563221368,72,"Male","White","College graduate or higher","Married","Retired","Computer",1,1,0
"127",1028484309,2.8146135881459,78,"Female","White","Some college or 2-year degree","Married","Retired","Computer",1,1,1
"128",1028825305,2.19715375665797,72,"Male","White","Some college or 2-year degree","Married","Retired","Computer",1,1,0
"129",1028823263,0.396167193233284,36,"Female","Other","College graduate or higher","Never married","Employed","Computer",0,0,1
"130",1028802855,0.575616843074649,70,"Female","White","Some college or 2-year degree","Married","Retired","Tablet",0,0,0
"131",1028537061,1.60728155689698,67,"Female","White","College graduate or higher","Widowed","Retired","Computer",0,1,0
"132",1028807915,1.08621541893343,65,"Male","White","College graduate or higher","Married","Retired","Smartphone",1,1,0
"133",1028823789,0.411089105523625,62,"Male","White","Some college or 2-year degree","Married","Employed","Computer",0,0,1
"134",1028826351,0.901830856895839,69,"Female","White","College graduate or higher","Married","Retired","Computer",0,1,0
"135",1028809965,1.0633872639012,65,"Male","White","College graduate or higher","Married","Retired","Computer",0,0,1
"136",1028688121,2.44368628062481,39,"Male","Black","Some college or 2-year degree","Never married","Other","Computer",0,1,1
"137",1028777211,1.14282719696718,92,"Male","White","College graduate or higher","Widowed","Retired","Smartphone",1,1,1
"138",1028812029,0.624683336479162,76,"Male","White","College graduate or higher","Married","Retired","Computer",0,1,1
"139",1028802815,1.07619342349571,72,"Female","White","College graduate or higher","Divorced","Employed","Smartphone",0,1,1
"140",1028826905,0.711050165127538,50,"Female","White","Some college or 2-year degree","Separated","Disabled","Smartphone",0,1,1
"141",1028822299,0.491007015174237,49,"Male","White","College graduate or higher","Divorced","Employed","Smartphone",1,0,1
"142",1028822661,0.719054745577244,38,"Female","White","College graduate or higher","Married","Employed","Tablet",0,0,0
"143",1028810533,1.04243559997122,58,"Male","White","College graduate or higher","Married","Unemployed","Computer",0,0,1
"144",1028823335,0.453323269577483,67,"Male","White","High school graduate","Divorced","Retired","Computer",0,1,1
"145",1028812601,0.536187985235303,49,"Male","White","Some college or 2-year degree","Never married","Employed","Computer",0,0,1
"146",1028812091,0.728217383483353,57,"Male","White","College graduate or higher","Never married","Employed","Computer",0,0,1
"147",1028825919,1.01418742474616,61,"Female","White","Some college or 2-year degree","Divorced","Disabled","Computer",1,1,1
"148",1028808529,0.843162189432013,66,"Male","White","College graduate or higher","Married","Retired","Computer",0,0,1
"149",1028777811,1.81432772212421,88,"Male","White","College graduate or higher","Widowed","Retired","Tablet",1,1,0
