ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean,,
CA-085,Santa Clara County,California,2.26,72,-0.21,2.47,,
CA-087,Santa Cruz County,California,3.05,69,-0.52,3.57,,
CA-089,Shasta County,California,5.82,81,0.46,5.36,,
CA-091,Sierra County,California,4.13,68,-1.23,5.36,,
CA-093,Siskiyou County,California,3.98,60,-1.42,5.4,,
CA-095,Solano County,California,1.55,57,-0.67,2.22,,
CA-097,Sonoma County,California,5.1,79,-0.11,5.21,,
CA-099,Stanislaus County,California,1.2,72,-0.26,1.46,,
CA-101,Sutter County,California,1.59,58,-0.65,2.24,,
CA-103,Tehama County,California,5.1,85,0.56,4.54,,
CA-105,Trinity County,California,7.35,75,-0.5,7.85,,
CA-107,Tulare County,California,1.07,54,-0.86,1.93,,
CA-109,Tuolumne County,California,2.88,56,-1.45,4.33,,
CA-111,Ventura County,California,1.15,67,-0.54,1.69,,
CA-113,Yolo County,California,1.65,60,-0.59,2.24,,
CA-115,Yuba County,California,3.6,62,-0.97,4.57,,
CO-001,Adams County,Colorado,0.51,70,-0.13,0.64,,
CO-003,Alamosa County,Colorado,0.53,78,0.03,0.5,,
CO-005,Arapahoe County,Colorado,0.51,62,-0.15,0.66,,
CO-007,Archuleta County,Colorado,2.36,101,0.69,1.67,,
CO-009,Baca County,Colorado,0.3,61,-0.29,0.59,,
CO-011,Bent County,Colorado,0.62,93,0.08,0.54,,
CO-013,Boulder County,Colorado,0.66,34,-0.43,1.09,,
CO-014,Broomfield County,Colorado,0.31,33,-0.39,0.7,,
CO-015,Chaffee County,Colorado,0.49,27,-0.54,1.03,,
CO-017,Cheyenne County,Colorado,0.18,44,-0.3,0.48,,
CO-019,Clear Creek County,Colorado,1.09,35,-0.56,1.65,,
CO-021,Conejos County,Colorado,1.14,76,0.02,1.12,,
CO-023,Costilla County,Colorado,0.84,62,-0.2,1.04,,
CO-025,Crowley County,Colorado,0.37,88,-0.02,0.39,,
CO-027,Custer County,Colorado,0.71,51,-0.56,1.27,,
CO-029,Delta County,Colorado,1.28,73,-0.05,1.33,,
CO-031,Denver County,Colorado,0.41,47,-0.27,0.68,,
CO-033,Dolores County,Colorado,2.01,88,0.24,1.77,,
CO-035,Douglas County,Colorado,0.51,47,-0.37,0.88,,
CO-037,Eagle County,Colorado,1.35,34,-0.59,1.94,,
CO-039,Elbert County,Colorado,0.35,52,-0.25,0.6,,
CO-041,El Paso County,Colorado,0.36,56,-0.21,0.57,,
CO-043,Fremont County,Colorado,0.36,40,-0.31,0.67,,
CO-045,Garfield County,Colorado,1.7,68,-0.1,1.8,,
CO-047,Gilpin County,Colorado,0.78,32,-0.5,1.28,,
CO-049,Grand County,Colorado,1.25,38,-0.47,1.72,,
CO-051,Gunnison County,Colorado,1.45,54,-0.29,1.74,,
CO-053,Hinsdale County,Colorado,2.5,75,0.06,2.44,,
CO-055,Huerfano County,Colorado,0.41,32,-0.54,0.95,,
CO-057,Jackson County,Colorado,1.54,50,-0.3,1.84,,
CO-059,Jefferson County,Colorado,0.51,39,-0.39,0.9,,
CO-061,Kiowa County,Colorado,0.25,62,-0.19,0.44,,
CO-063,Kit Carson County,Colorado,0.44,83,-0.14,0.58,,
CO-065,Lake County,Colorado,1.1,32,-0.7,1.8,,
CO-067,La Plata County,Colorado,2.7,109,1.01,1.69,,
CO-069,Larimer County,Colorado,0.91,54,-0.27,1.18,,
CO-071,Las Animas County,Colorado,0.42,51,-0.31,0.73,,
CO-073,Lincoln County,Colorado,0.19,43,-0.27,0.46,,
CO-075,Logan County,Colorado,0.32,61,-0.2,0.52,,
CO-077,Mesa County,Colorado,1.4,79,0.08,1.32,,
CO-079,Mineral County,Colorado,2.28,68,-0.22,2.5,,
CO-081,Moffat County,Colorado,1.1,72,-0.01,1.11,,
CO-083,Montezuma County,Colorado,2.22,107,0.92,1.3,,
CO-085,Montrose County,Colorado,1.07,75,-0.02,1.09,,
CO-087,Morgan County,Colorado,0.5,86,0,0.5,,
CO-089,Otero County,Colorado,0.76,95,0.16,0.6,,
CO-091,Ouray County,Colorado,1.57,70,-0.05,1.62,,
CO-093,Park County,Colorado,0.5,32,-0.38,0.88,,
CO-095,Phillips County,Colorado,0.32,64,-0.23,0.55,,
CO-097,Pitkin County,Colorado,1.9,40,-0.59,2.49,,
CO-099,Prowers County,Colorado,0.26,56,-0.29,0.55,,
CO-101,Pueblo County,Colorado,0.59,89,-0.01,0.6,,
CO-103,Rio Blanco County,Colorado,1.35,58,-0.08,1.43,,
CO-105,Rio Grande County,Colorado,0.8,67,-0.15,0.95,,
CO-107,Routt County,Colorado,1.64,45,-0.46,2.1,,
CO-109,Saguache County,Colorado,0.91,62,-0.14,1.05,,
CO-111,San Juan County,Colorado,3.64,79,0.21,3.43,,
CO-113,San Miguel County,Colorado,1.46,79,0.08,1.38,,
CO-115,Sedgwick County,Colorado,0.32,59,-0.25,0.57,,
CO-117,Summit County,Colorado,1.29,27,-0.78,2.07,,
CO-119,Teller County,Colorado,0.69,62,-0.25,0.94,,
CO-121,Washington County,Colorado,0.31,47,-0.28,0.59,,
CO-123,Weld County,Colorado,0.32,50,-0.17,0.49,,
CO-125,Yuma County,Colorado,0.32,60,-0.24,0.56,,
CT-001,Fairfield County,Connecticut,4.16,74,0.02,4.14,,
CT-003,Hartford County,Connecticut,3.04,44,-1.01,4.05,,
CT-005,Litchfield County,Connecticut,3.41,50,-0.75,4.16,,
CT-007,Middlesex County,Connecticut,3.08,45,-1.13,4.21,,
CT-009,New Haven County,Connecticut,3.42,51,-0.82,4.24,,
