"","county_fips","year","rep_votes","all_votes","state","pc_rep","unemploy_rate","median_income","pc_uninsured","pop_over_18","turnout","med_inc_000s"
"72",1047,2020,5524,17864,"AL",30.922525750112,10.4,33317,10.2,28970,61.6637901277183,33.317
"73",1049,2012,18331,23863,"AL",76.8176675187529,11,36853,18.2,52687,45.2920075160856,36.853
"74",1049,2016,21405,25826,"AL",82.8815921939131,6.3,38248,16,53387,48.3750725832131,38.248
"75",1049,2020,24767,29356,"AL",84.3677612753781,4.5,42267,13.7,54064,54.2986090559337,42.267
"76",1051,2012,26253,35485,"AL",73.9833732563055,8.5,55514,11.3,60659,58.4991509916088,55.514
"77",1051,2016,27634,37260,"AL",74.1653247450349,7.5,53398,8.8,62404,59.7077110441638,53.398
"78",1051,2020,30164,41030,"AL",73.5169388252498,4.1,62324,7.3,63355,64.7620550864178,62.324
"79",1053,2012,9287,14869,"AL",62.4588069137131,15,31075,21.9,29366,50.6333855479126,31.075
"80",1053,2016,9935,14845,"AL",66.9248905355338,15.2,32334,17.6,29444,50.4177421545986,32.334
"81",1053,2020,10869,15910,"AL",68.3155248271527,10.1,35558,11.8,28536,55.7541351275582,35.558
"82",1055,2012,29130,42530,"AL",68.4928285915824,11.3,37660,15.6,80318,52.9520157374437,37.66
"83",1055,2016,32353,44164,"AL",73.2564985055701,8.5,40478,12.1,80606,54.7899660074932,40.478
"84",1055,2020,35528,47728,"AL",74.4384847468991,5.7,44934,11.5,80615,59.2048626186194,44.934
"85",1057,2012,6054,7946,"AL",76.1892776239617,8.1,33090,11.4,13451,59.073674819716,33.09
"86",1057,2016,6712,8249,"AL",81.3674384773912,8.8,36205,8.4,13176,62.6062537947784,36.205
"87",1057,2020,7300,8766,"AL",83.2762947752681,8,41469,8.1,12935,67.769617317356,41.469
"88",1059,2012,7567,10859,"AL",69.6841329772539,9.3,37235,16.9,23840,45.5494966442953,37.235
"89",1059,2016,9466,12040,"AL",78.6212624584718,9.7,36138,14.1,23898,50.3807850029291,36.138
"90",1059,2020,10376,12578,"AL",82.4932421688663,4.8,41174,11.7,23702,53.0672517087166,41.174
"91",1061,2012,9175,11320,"AL",81.0512367491166,9.7,33618,15.8,20805,54.4099975967316,33.618
"92",1061,2016,9994,11758,"AL",84.997448545671,10.3,36519,14.7,20832,56.4420122887865,36.519
"93",1061,2020,10848,12545,"AL",86.4726982861698,3.7,41569,11.7,20588,60.933553526326,41.569
"94",1063,2012,804,5340,"AL",15.0561797752809,23.8,23777,14.5,6859,77.8539145648054,23.777
"95",1063,2016,838,4880,"AL",17.172131147541,18.2,21339,14,6597,73.9730180385023,21.339
"96",1063,2020,875,4775,"AL",18.3246073298429,12.7,26688,16.6,6455,73.9736638264911,26.688
"97",1065,2012,3210,8643,"AL",37.1398819854217,15.9,29409,15.6,11851,72.9305543835963,29.409
"98",1065,2016,3173,8040,"AL",39.4651741293532,12.1,33351,11.1,11594,69.3462135587373,33.351
"99",1065,2020,3192,7900,"AL",40.4050632911392,9.1,30793,8.3,11331,69.7202365192834,30.793
"100",1067,2012,5628,8760,"AL",64.2465753424657,12.7,40680,11.4,13432,65.2173913043478,40.68
"101",1067,2016,5632,8072,"AL",69.7720515361744,7.5,41045,11.5,13555,59.5499815566212,41.045
"102",1067,2020,6607,9298,"AL",71.0582921058292,5.5,51715,7.8,13568,68.528891509434,51.715
"103",1069,2012,29270,41918,"AL",69.8268047139654,7.8,41828,14.3,76607,54.718237236806,41.828
"104",1069,2016,30728,42639,"AL",72.0654799596613,8.1,41945,12.1,79179,53.8513999924222,41.945
"105",1069,2020,32618,46173,"AL",70.6430164814935,5.6,49069,11.4,81009,56.997370662519,49.069
"106",1071,2012,14439,20577,"AL",70.1705788015746,8.1,37059,14.9,41282,49.844968751514,37.059
"107",1071,2016,16672,20984,"AL",79.451010293557,8.6,38422,11.9,41173,50.965438515532,38.422
"108",1071,2020,19670,23636,"AL",83.2205110847859,5.2,42578,10.1,40900,57.7897310513447,42.578
"109",1073,2012,141683,303918,"AL",46.6188248145881,10,45415,13.1,503585,60.3508841605687,45.415
"110",1073,2016,134768,304191,"AL",44.3037433717631,8.2,47220,10.9,506618,60.0434647012147,47.22
"111",1073,2020,138843,325848,"AL",42.6097444207115,6.3,55088,9,508262,64.1102423553207,55.088
"112",1075,2012,5457,7166,"AL",76.1512698855708,9.5,35271,12.7,11290,63.4720992028344,35.271
"113",1075,2016,5823,6966,"AL",83.5917312661499,9.5,34298,12.7,11016,63.2352941176471,34.298
"114",1075,2020,6174,7193,"AL",85.8334491867093,5.1,42688,5.6,10813,66.5217793396837,42.688
"115",1077,2012,23911,36924,"AL",64.7573393998483,9.1,40701,13,72674,50.8077166524479,40.701
"116",1077,2016,27899,39525,"AL",70.5857052498419,7.6,43657,11,73637,53.6754620639081,43.657
